=== DISTRIBUCIÓN CONJUNTA ===
Número de variables: 25
Número de configuraciones: 33554432
------------------------------------------------------------
Distribución demasiado grande para mostrar completa (33554432 configuraciones).
Mostrando solo las primeras y últimas 5 configuraciones:

X25 X24 X23 X22 X21 X20 X19 X18 X17 X16 X15 X14 X13 X12 X11 X10 X9 X8 X7 X6 X5 X4 X3 X2 X1 | Probabilidad
1	0	0	1	1	0	0	0	0	| 0.001751
0	1	0	1	1	0	0	0	0	| 0.001435
1	1	0	1	1	0	0	0	0	| 0.002281
0	0	1	1	1	0	0	0	0	| 0.001584
1	0	1	1	1	0	0	0	0	| 0.001925
0	1	1	1	1	0	0	0	0	| 0.002222
1	1	1	1	1	0	0	0	0	| 0.002011
0	0	0	0	0	1	0	0	0	| 0.002317
1	0	0	0	0	1	0	0	0	| 0.001698
0	1	0	0	0	1	0	0	0	| 0.001683
1	1	0	0	0	1	0	0	0	| 0.001865
0	0	1	0	0	1	0	0	0	| 0.002175
1	0	1	0	0	1	0	0	0	| 0.002200
0	1	1	0	0	1	0	0	0	| 0.001985
1	1	1	0	0	1	0	0	0	| 0.001851
0	0	0	1	0	1	0	0	0	| 0.002696
1	0	0	1	0	1	0	0	0	| 0.002238
0	1	0	1	0	1	0	0	0	| 0.002054
1	1	0	1	0	1	0	0	0	| 0.002200
0	0	1	1	0	1	0	0	0	| 0.001930
1	0	1	1	0	1	0	0	0	| 0.001731
0	1	1	1	0	1	0	0	0	| 0.002396
1	1	1	1	0	1	0	0	0	| 0.001621
0	0	0	0	1	1	0	0	0	| 0.002323
1	0	0	0	1	1	0	0	0	| 0.001836
0	1	0	0	1	1	0	0	0	| 0.001488
1	1	0	0	1	1	0	0	0	| 0.002194
0	0	1	0	1	1	0	0	0	| 0.002265
1	0	1	0	1	1	0	0	0	| 0.002056
0	1	1	0	1	1	0	0	0	| 0.002074
1	1	1	0	1	1	0	0	0	| 0.002404
0	0	0	1	1	1	0	0	0	| 0.001650
1	0	0	1	1	1	0	0	0	| 0.001939
0	1	0	1	1	1	0	0	0	| 0.002168
1	1	0	1	1	1	0	0	0	| 0.001984
0	0	1	1	1	1	0	0	0	| 0.002310
1	0	1	1	1	1	0	0	0	| 0.002088
0	1	1	1	1	1	0	0	0	| 0.001725
1	1	1	1	1	1	0	0	0	| 0.002164
0	0	0	0	0	0	1	0	0	| 0.002008
1	0	0	0	0	0	1	0	0	| 0.001859
0	1	0	0	0	0	1	0	0	| 0.001725
1	1	0	0	0	0	1	0	0	| 0.002009
0	0	1	0	0	0	1	0	0	| 0.001796
1	0	1	0	0	0	1	0	0	| 0.001883
0	1	1	0	0	0	1	0	0	| 0.001852
1	1	1	0	0	0	1	0	0	| 0.002334
0	0	0	1	0	0	1	0	0	| 0.002009
1	0	0	1	0	0	1	0	0	| 0.002096
0	1	0	1	0	0	1	0	0	| 0.001877
1	1	0	1	0	0	1	0	0	| 0.001979
0	0	1	1	0	0	1	0	0	| 0.002014
1	0	1	1	0	0	1	0	0	| 0.002266
0	1	1	1	0	0	1	0	0	| 0.001977
1	1	1	1	0	0	1	0	0	| 0.002097
0	0	0	0	1	0	1	0	0	| 0.002148
1	0	0	0	1	0	1	0	0	| 0.001896
0	1	0	0	1	0	1	0	0	| 0.001739
1	1	0	0	1	0	1	0	0	| 0.002200
0	0	1	0	1	0	1	0	0	| 0.002116
1	0	1	0	1	0	1	0	0	| 0.001553
0	1	1	0	1	0	1	0	0	| 0.002185
1	1	1	0	1	0	1	0	0	| 0.002088
0	0	0	1	1	0	1	0	0	| 0.001967
1	0	0	1	1	0	1	0	0	| 0.001794
0	1	0	1	1	0	1	0	0	| 0.001855
1	1	0	1	1	0	1	0	0	| 0.001833
0	0	1	1	1	0	1	0	0	| 0.001962
1	0	1	1	1	0	1	0	0	| 0.002074
0	1	1	1	1	0	1	0	0	| 0.002089
1	1	1	1	1	0	1	0	0	| 0.002003
0	0	0	0	0	1	1	0	0	| 0.002405
1	0	0	0	0	1	1	0	0	| 0.002387
0	1	0	0	0	1	1	0	0	| 0.002443
1	1	0	0	0	1	1	0	0	| 0.001676
0	0	1	0	0	1	1	0	0	| 0.001865
1	0	1	0	0	1	1	0	0	| 0.001899
0	1	1	0	0	1	1	0	0	| 0.002043
1	1	1	0	0	1	1	0	0	| 0.002280
0	0	0	1	0	1	1	0	0	| 0.001851
1	0	0	1	0	1	1	0	0	| 0.002009
0	1	0	1	0	1	1	0	0	| 0.002210
1	1	0	1	0	1	1	0	0	| 0.002260
0	0	1	1	0	1	1	0	0	| 0.001835
1	0	1	1	0	1	1	0	0	| 0.001873
0	1	1	1	0	1	1	0	0	| 0.002032
1	1	1	1	0	1	1	0	0	| 0.002246
0	0	0	0	1	1	1	0	0	| 0.002005
1	0	0	0	1	1	1	0	0	| 0.002050
0	1	0	0	1	1	1	0	0	| 0.001747
1	1	0	0	1	1	1	0	0	| 0.001515
0	0	1	0	1	1	1	0	0	| 0.001908
1	0	1	0	1	1	1	0	0	| 0.002024
0	1	1	0	1	1	1	0	0	| 0.001815
1	1	1	0	1	1	1	0	0	| 0.001651
0	0	0	1	1	1	1	0	0	| 0.001780
1	0	0	1	1	1	1	0	0	| 0.001983
0	1	0	1	1	1	1	0	0	| 0.001847
1	1	0	1	1	1	1	0	0	| 0.001852
0	0	1	1	1	1	1	0	0	| 0.002152
1	0	1	1	1	1	1	0	0	| 0.001869
0	1	1	1	1	1	1	0	0	| 0.001749
1	1	1	1	1	1	1	0	0	| 0.002099
0	0	0	0	0	0	0	1	0	| 0.001771
1	0	0	0	0	0	0	1	0	| 0.001903
0	1	0	0	0	0	0	1	0	| 0.002206
1	1	0	0	0	0	0	1	0	| 0.001824
0	0	1	0	0	0	0	1	0	| 0.001744
1	0	1	0	0	0	0	1	0	| 0.001690
0	1	1	0	0	0	0	1	0	| 0.001431
1	1	1	0	0	0	0	1	0	| 0.001967
0	0	0	1	0	0	0	1	0	| 0.002084
1	0	0	1	0	0	0	1	0	| 0.001573
0	1	0	1	0	0	0	1	0	| 0.001813
1	1	0	1	0	0	0	1	0	| 0.001847
0	0	1	1	0	0	0	1	0	| 0.001926
1	0	1	1	0	0	0	1	0	| 0.002044
0	1	1	1	0	0	0	1	0	| 0.002076
1	1	1	1	0	0	0	1	0	| 0.002082
0	0	0	0	1	0	0	1	0	| 0.001409
1	0	0	0	1	0	0	1	0	| 0.001740
0	1	0	0	1	0	0	1	0	| 0.002068
1	1	0	0	1	0	0	1	0	| 0.001750
0	0	1	0	1	0	0	1	0	| 0.001880
1	0	1	0	1	0	0	1	0	| 0.001812
0	1	1	0	1	0	0	1	0	| 0.001673
1	1	1	0	1	0	0	1	0	| 0.001785
0	0	0	1	1	0	0	1	0	| 0.002072
1	0	0	1	1	0	0	1	0	| 0.001666
0	1	0	1	1	0	0	1	0	| 0.002056
1	1	0	1	1	0	0	1	0	| 0.001784
0	0	1	1	1	0	0	1	0	| 0.001886
1	0	1	1	1	0	0	1	0	| 0.001960
0	1	1	1	1	0	0	1	0	| 0.001915
1	1	1	1	1	0	0	1	0	| 0.001792
0	0	0	0	0	1	0	1	0	| 0.002225
1	0	0	0	0	1	0	1	0	| 0.001783
0	1	0	0	0	1	0	1	0	| 0.001980
1	1	0	0	0	1	0	1	0	| 0.001730
0	0	1	0	0	1	0	1	0	| 0.002461
1	0	1	0	0	1	0	1	0	| 0.001878
0	1	1	0	0	1	0	1	0	| 0.002048
1	1	1	0	0	1	0	1	0	| 0.001871
0	0	0	1	0	1	0	1	0	| 0.002148
1	0	0	1	0	1	0	1	0	| 0.001638
0	1	0	1	0	1	0	1	0	| 0.002376
1	1	0	1	0	1	0	1	0	| 0.001637
0	0	1	1	0	1	0	1	0	| 0.001777
1	0	1	1	0	1	0	1	0	| 0.002071
0	1	1	1	0	1	0	1	0	| 0.001815
1	1	1	1	0	1	0	1	0	| 0.001637
0	0	0	0	1	1	0	1	0	| 0.001885
1	0	0	0	1	1	0	1	0	| 0.001807
0	1	0	0	1	1	0	1	0	| 0.002123
1	1	0	0	1	1	0	1	0	| 0.002193
0	0	1	0	1	1	0	1	0	| 0.001629
1	0	1	0	1	1	0	1	0	| 0.001694
0	1	1	0	1	1	0	1	0	| 0.002186
1	1	1	0	1	1	0	1	0	| 0.002240
0	0	0	1	1	1	0	1	0	| 0.002593
1	0	0	1	1	1	0	1	0	| 0.002153
0	1	0	1	1	1	0	1	0	| 0.002134
1	1	0	1	1	1	0	1	0	| 0.001654
0	0	1	1	1	1	0	1	0	| 0.002491
1	0	1	1	1	1	0	1	0	| 0.001888
0	1	1	1	1	1	0	1	0	| 0.002139
1	1	1	1	1	1	0	1	0	| 0.002267
0	0	0	0	0	0	1	1	0	| 0.001850
1	0	0	0	0	0	1	1	0	| 0.002197
0	1	0	0	0	0	1	1	0	| 0.002179
1	1	0	0	0	0	1	1	0	| 0.002146
0	0	1	0	0	0	1	1	0	| 0.002221
1	0	1	0	0	0	1	1	0	| 0.001670
0	1	1	0	0	0	1	1	0	| 0.001879
1	1	1	0	0	0	1	1	0	| 0.001966
0	0	0	1	0	0	1	1	0	| 0.001928
1	0	0	1	0	0	1	1	0	| 0.001964
0	1	0	1	0	0	1	1	0	| 0.001819
1	1	0	1	0	0	1	1	0	| 0.001693
0	0	1	1	0	0	1	1	0	| 0.002102
1	0	1	1	0	0	1	1	0	| 0.002214
0	1	1	1	0	0	1	1	0	| 0.001671
1	1	1	1	0	0	1	1	0	| 0.001736
0	0	0	0	1	0	1	1	0	| 0.001728
1	0	0	0	1	0	1	1	0	| 0.001423
0	1	0	0	1	0	1	1	0	| 0.002161
1	1	0	0	1	0	1	1	0	| 0.001833
0	0	1	0	1	0	1	1	0	| 0.002033
1	0	1	0	1	0	1	1	0	| 0.002218
0	1	1	0	1	0	1	1	0	| 0.002381
1	1	1	0	1	0	1	1	0	| 0.001942
0	0	0	1	1	0	1	1	0	| 0.001875
1	0	0	1	1	0	1	1	0	| 0.002237
0	1	0	1	1	0	1	1	0	| 0.001938
1	1	0	1	1	0	1	1	0	| 0.002115
0	0	1	1	1	0	1	1	0	| 0.002006
1	0	1	1	1	0	1	1	0	| 0.002113
0	1	1	1	1	0	1	1	0	| 0.001855
1	1	1	1	1	0	1	1	0	| 0.002223
0	0	0	0	0	1	1	1	0	| 0.001931
1	0	0	0	0	1	1	1	0	| 0.001872
0	1	0	0	0	1	1	1	0	| 0.002106
1	1	0	0	0	1	1	1	0	| 0.001968
0	0	1	0	0	1	1	1	0	| 0.001417
1	0	1	0	0	1	1	1	0	| 0.001928
0	1	1	0	0	1	1	1	0	| 0.002360
1	1	1	0	0	1	1	1	0	| 0.001890
0	0	0	1	0	1	1	1	0	| 0.002143
1	0	0	1	0	1	1	1	0	| 0.001765
0	1	0	1	0	1	1	1	0	| 0.001797
1	1	0	1	0	1	1	1	0	| 0.001970
0	0	1	1	0	1	1	1	0	| 0.001456
1	0	1	1	0	1	1	1	0	| 0.002122
0	1	1	1	0	1	1	1	0	| 0.002649
1	1	1	1	0	1	1	1	0	| 0.001902
0	0	0	0	1	1	1	1	0	| 0.002271
1	0	0	0	1	1	1	1	0	| 0.002048
0	1	0	0	1	1	1	1	0	| 0.001998
1	1	0	0	1	1	1	1	0	| 0.001927
0	0	1	0	1	1	1	1	0	| 0.002505
1	0	1	0	1	1	1	1	0	| 0.002348
0	1	1	0	1	1	1	1	0	| 0.002045
1	1	1	0	1	1	1	1	0	| 0.002104
0	0	0	1	1	1	1	1	0	| 0.002263
1	0	0	1	1	1	1	1	0	| 0.001730
0	1	0	1	1	1	1	1	0	| 0.002001
1	1	0	1	1	1	1	1	0	| 0.001971
0	0	1	1	1	1	1	1	0	| 0.002206
1	0	1	1	1	1	1	1	0	| 0.001881
0	1	1	1	1	1	1	1	0	| 0.001615
1	1	1	1	1	1	1	1	0	| 0.002559
0	0	0	0	0	0	0	0	1	| 0.002039
1	0	0	0	0	0	0	0	1	| 0.001917
0	1	0	0	0	0	0	0	1	| 0.001863
1	1	0	0	0	0	0	0	1	| 0.002017
0	0	1	0	0	0	0	0	1	| 0.001887
1	0	1	0	0	0	0	0	1	| 0.001729
0	1	1	0	0	0	0	0	1	| 0.001792
1	1	1	0	0	0	0	0	1	| 0.002012
0	0	0	1	0	0	0	0	1	| 0.001879
1	0	0	1	0	0	0	0	1	| 0.001828
0	1	0	1	0	0	0	0	1	| 0.001813
1	1	0	1	0	0	0	0	1	| 0.001975
0	0	1	1	0	0	0	0	1	| 0.001889
1	0	1	1	0	0	0	0	1	| 0.002271
0	1	1	1	0	0	0	0	1	| 0.002284
1	1	1	1	0	0	0	0	1	| 0.001769
0	0	0	0	1	0	0	0	1	| 0.001779
1	0	0	0	1	0	0	0	1	| 0.002007
0	1	0	0	1	0	0	0	1	| 0.001623
1	1	0	0	1	0	0	0	1	| 0.001836
0	0	1	0	1	0	0	0	1	| 0.002051
1	0	1	0	1	0	0	0	1	| 0.001966
0	1	1	0	1	0	0	0	1	| 0.001802
1	1	1	0	1	0	0	0	1	| 0.001574
0	0	0	1	1	0	0	0	1	| 0.001644
1	0	0	1	1	0	0	0	1	| 0.001935
0	1	0	1	1	0	0	0	1	| 0.001732
1	1	0	1	1	0	0	0	1	| 0.001712
0	0	1	1	1	0	0	0	1	| 0.001782
1	0	1	1	1	0	0	0	1	| 0.001862
0	1	1	1	1	0	0	0	1	| 0.001716
1	1	1	1	1	0	0	0	1	| 0.001750
0	0	0	0	0	1	0	0	1	| 0.002159
1	0	0	0	0	1	0	0	1	| 0.001907
0	1	0	0	0	1	0	0	1	| 0.001556
1	1	0	0	0	1	0	0	1	| 0.001643
0	0	1	0	0	1	0	0	1	| 0.001905
1	0	1	0	0	1	0	0	1	| 0.001829
0	1	1	0	0	1	0	0	1	| 0.002092
1	1	1	0	0	1	0	0	1	| 0.002386
0	0	0	1	0	1	0	0	1	| 0.002025
1	0	0	1	0	1	0	0	1	| 0.001769
0	1	0	1	0	1	0	0	1	| 0.001929
1	1	0	1	0	1	0	0	1	| 0.001716
0	0	1	1	0	1	0	0	1	| 0.001884
1	0	1	1	0	1	0	0	1	| 0.002168
0	1	1	1	0	1	0	0	1	| 0.001888
1	1	1	1	0	1	0	0	1	| 0.001723
0	0	0	0	1	1	0	0	1	| 0.002468
1	0	0	0	1	1	0	0	1	| 0.001622
0	1	0	0	1	1	0	0	1	| 0.002015
1	1	0	0	1	1	0	0	1	| 0.002159
0	0	1	0	1	1	0	0	1	| 0.001399
1	0	1	0	1	1	0	0	1	| 0.002025
0	1	1	0	1	1	0	0	1	| 0.002084
1	1	1	0	1	1	0	0	1	| 0.001789
0	0	0	1	1	1	0	0	1	| 0.001985
1	0	0	1	1	1	0	0	1	| 0.001848
0	1	0	1	1	1	0	0	1	| 0.001792
1	1	0	1	1	1	0	0	1	| 0.001988
0	0	1	1	1	1	0	0	1	| 0.001983
1	0	1	1	1	1	0	0	1	| 0.001735
0	1	1	1	1	1	0	0	1	| 0.001354
1	1	1	1	1	1	0	0	1	| 0.001934
0	0	0	0	0	0	1	0	1	| 0.001684
1	0	0	0	0	0	1	0	1	| 0.002456
0	1	0	0	0	0	1	0	1	| 0.002247
1	1	0	0	0	0	1	0	1	| 0.001592
0	0	1	0	0	0	1	0	1	| 0.001495
1	0	1	0	0	0	1	0	1	| 0.002038
0	1	1	0	0	0	1	0	1	| 0.001541
1	1	1	0	0	0	1	0	1	| 0.002068
0	0	0	1	0	0	1	0	1	| 0.002438
1	0	0	1	0	0	1	0	1	| 0.002077
0	1	0	1	0	0	1	0	1	| 0.001913
1	1	0	1	0	0	1	0	1	| 0.002170
0	0	1	1	0	0	1	0	1	| 0.001738
1	0	1	1	0	0	1	0	1	| 0.002016
0	1	1	1	0	0	1	0	1	| 0.001649
1	1	1	1	0	0	1	0	1	| 0.002249
0	0	0	0	1	0	1	0	1	| 0.001601
1	0	0	0	1	0	1	0	1	| 0.001653
0	1	0	0	1	0	1	0	1	| 0.001770
1	1	0	0	1	0	1	0	1	| 0.002037
0	0	1	0	1	0	1	0	1	| 0.002347
1	0	1	0	1	0	1	0	1	| 0.002008
0	1	1	0	1	0	1	0	1	| 0.001972
1	1	1	0	1	0	1	0	1	| 0.002374
0	0	0	1	1	0	1	0	1	| 0.001800
1	0	0	1	1	0	1	0	1	| 0.001910
0	1	0	1	1	0	1	0	1	| 0.001939
1	1	0	1	1	0	1	0	1	| 0.002230
0	0	1	1	1	0	1	0	1	| 0.002008
1	0	1	1	1	0	1	0	1	| 0.002180
0	1	1	1	1	0	1	0	1	| 0.001511
1	1	1	1	1	0	1	0	1	| 0.001665
0	0	0	0	0	1	1	0	1	| 0.001944
1	0	0	0	0	1	1	0	1	| 0.002036
0	1	0	0	0	1	1	0	1	| 0.001693
1	1	0	0	0	1	1	0	1	| 0.002119
0	0	1	0	0	1	1	0	1	| 0.002478
1	0	1	0	0	1	1	0	1	| 0.002132
0	1	1	0	0	1	1	0	1	| 0.002329
1	1	1	0	0	1	1	0	1	| 0.001999
0	0	0	1	0	1	1	0	1	| 0.002069
1	0	0	1	0	1	1	0	1	| 0.002243
0	1	0	1	0	1	1	0	1	| 0.001662
1	1	0	1	0	1	1	0	1	| 0.002192
0	0	1	1	0	1	1	0	1	| 0.002040
1	0	1	1	0	1	1	0	1	| 0.002028
0	1	1	1	0	1	1	0	1	| 0.001864
1	1	1	1	0	1	1	0	1	| 0.001920
0	0	0	0	1	1	1	0	1	| 0.001705
1	0	0	0	1	1	1	0	1	| 0.002386
0	1	0	0	1	1	1	0	1	| 0.001888
1	1	0	0	1	1	1	0	1	| 0.001748
0	0	1	0	1	1	1	0	1	| 0.002219
1	0	1	0	1	1	1	0	1	| 0.002227
0	1	1	0	1	1	1	0	1	| 0.001921
1	1	1	0	1	1	1	0	1	| 0.002207
0	0	0	1	1	1	1	0	1	| 0.002153
1	0	0	1	1	1	1	0	1	| 0.001914
0	1	0	1	1	1	1	0	1	| 0.001842
1	1	0	1	1	1	1	0	1	| 0.002521
0	0	1	1	1	1	1	0	1	| 0.001610
1	0	1	1	1	1	1	0	1	| 0.001969
0	1	1	1	1	1	1	0	1	| 0.002008
1	1	1	1	1	1	1	0	1	| 0.001948
0	0	0	0	0	0	0	1	1	| 0.002640
1	0	0	0	0	0	0	1	1	| 0.001527
0	1	0	0	0	0	0	1	1	| 0.001441
1	1	0	0	0	0	0	1	1	| 0.002092
0	0	1	0	0	0	0	1	1	| 0.002223
1	0	1	0	0	0	0	1	1	| 0.001630
0	1	1	0	0	0	0	1	1	| 0.001995
1	1	1	0	0	0	0	1	1	| 0.002065
0	0	0	1	0	0	0	1	1	| 0.001967
1	0	0	1	0	0	0	1	1	| 0.001979
0	1	0	1	0	0	0	1	1	| 0.002111
1	1	0	1	0	0	0	1	1	| 0.002156
0	0	1	1	0	0	0	1	1	| 0.001692
1	0	1	1	0	0	0	1	1	| 0.001871
0	1	1	1	0	0	0	1	1	| 0.001915
1	1	1	1	0	0	0	1	1	| 0.002592
0	0	0	0	1	0	0	1	1	| 0.001603
1	0	0	0	1	0	0	1	1	| 0.002175
0	1	0	0	1	0	0	1	1	| 0.001741
1	1	0	0	1	0	0	1	1	| 0.001845
0	0	1	0	1	0	0	1	1	| 0.002085
1	0	1	0	1	0	0	1	1	| 0.001838
0	1	1	0	1	0	0	1	1	| 0.001654
1	1	1	0	1	0	0	1	1	| 0.002424
0	0	0	1	1	0	0	1	1	| 0.001705
1	0	0	1	1	0	0	1	1	| 0.001637
0	1	0	1	1	0	0	1	1	| 0.001765
1	1	0	1	1	0	0	1	1	| 0.001734
0	0	1	1	1	0	0	1	1	| 0.002161
1	0	1	1	1	0	0	1	1	| 0.001892
0	1	1	1	1	0	0	1	1	| 0.002075
1	1	1	1	1	0	0	1	1	| 0.001814
0	0	0	0	0	1	0	1	1	| 0.001672
1	0	0	0	0	1	0	1	1	| 0.001791
0	1	0	0	0	1	0	1	1	| 0.001670
1	1	0	0	0	1	0	1	1	| 0.001707
0	0	1	0	0	1	0	1	1	| 0.001655
1	0	1	0	0	1	0	1	1	| 0.002586
0	1	1	0	0	1	0	1	1	| 0.001497
1	1	1	0	0	1	0	1	1	| 0.001856
0	0	0	1	0	1	0	1	1	| 0.002117
1	0	0	1	0	1	0	1	1	| 0.001841
0	1	0	1	0	1	0	1	1	| 0.001854
1	1	0	1	0	1	0	1	1	| 0.001830
0	0	1	1	0	1	0	1	1	| 0.001857
1	0	1	1	0	1	0	1	1	| 0.002008
0	1	1	1	0	1	0	1	1	| 0.002185
1	1	1	1	0	1	0	1	1	| 0.001839
0	0	0	0	1	1	0	1	1	| 0.001968
1	0	0	0	1	1	0	1	1	| 0.001913
0	1	0	0	1	1	0	1	1	| 0.001745
1	1	0	0	1	1	0	1	1	| 0.002200
0	0	1	0	1	1	0	1	1	| 0.001884
1	0	1	0	1	1	0	1	1	| 0.001915
0	1	1	0	1	1	0	1	1	| 0.001839
1	1	1	0	1	1	0	1	1	| 0.001622
0	0	0	1	1	1	0	1	1	| 0.002459
1	0	0	1	1	1	0	1	1	| 0.002261
0	1	0	1	1	1	0	1	1	| 0.002538
1	1	0	1	1	1	0	1	1	| 0.001738
0	0	1	1	1	1	0	1	1	| 0.002312
1	0	1	1	1	1	0	1	1	| 0.001900
0	1	1	1	1	1	0	1	1	| 0.001935
1	1	1	1	1	1	0	1	1	| 0.002159
0	0	0	0	0	0	1	1	1	| 0.001839
1	0	0	0	0	0	1	1	1	| 0.001707
0	1	0	0	0	0	1	1	1	| 0.001706
1	1	0	0	0	0	1	1	1	| 0.001722
0	0	1	0	0	0	1	1	1	| 0.002106
1	0	1	0	0	0	1	1	1	| 0.001680
0	1	1	0	0	0	1	1	1	| 0.001634
1	1	1	0	0	0	1	1	1	| 0.001976
0	0	0	1	0	0	1	1	1	| 0.001836
1	0	0	1	0	0	1	1	1	| 0.002245
0	1	0	1	0	0	1	1	1	| 0.001801
1	1	0	1	0	0	1	1	1	| 0.001941
0	0	1	1	0	0	1	1	1	| 0.001963
1	0	1	1	0	0	1	1	1	| 0.002013
0	1	1	1	0	0	1	1	1	| 0.002330
1	1	1	1	0	0	1	1	1	| 0.002090
0	0	0	0	1	0	1	1	1	| 0.001684
1	0	0	0	1	0	1	1	1	| 0.001882
0	1	0	0	1	0	1	1	1	| 0.001572
1	1	0	0	1	0	1	1	1	| 0.001657
0	0	1	0	1	0	1	1	1	| 0.001924
1	0	1	0	1	0	1	1	1	| 0.001953
0	1	1	0	1	0	1	1	1	| 0.002234
1	1	1	0	1	0	1	1	1	| 0.001653
0	0	0	1	1	0	1	1	1	| 0.001864
1	0	0	1	1	0	1	1	1	| 0.002271
0	1	0	1	1	0	1	1	1	| 0.001939
1	1	0	1	1	0	1	1	1	| 0.002161
0	0	1	1	1	0	1	1	1	| 0.001748
1	0	1	1	1	0	1	1	1	| 0.001862
0	1	1	1	1	0	1	1	1	| 0.001685
1	1	1	1	1	0	1	1	1	| 0.001565
0	0	0	0	0	1	1	1	1	| 0.002307
1	0	0	0	0	1	1	1	1	| 0.002160
0	1	0	0	0	1	1	1	1	| 0.002047
1	1	0	0	0	1	1	1	1	| 0.001930
0	0	1	0	0	1	1	1	1	| 0.001669
1	0	1	0	0	1	1	1	1	| 0.001761
0	1	1	0	0	1	1	1	1	| 0.001763
1	1	1	0	0	1	1	1	1	| 0.002268
0	0	0	1	0	1	1	1	1	| 0.001699
1	0	0	1	0	1	1	1	1	| 0.002014
0	1	0	1	0	1	1	1	1	| 0.001840
1	1	0	1	0	1	1	1	1	| 0.002029
0	0	1	1	0	1	1	1	1	| 0.001967
1	0	1	1	0	1	1	1	1	| 0.001777
0	1	1	1	0	1	1	1	1	| 0.002139
1	1	1	1	0	1	1	1	1	| 0.001922
0	0	0	0	1	1	1	1	1	| 0.001589
1	0	0	0	1	1	1	1	1	| 0.001791
0	1	0	0	1	1	1	1	1	| 0.001796
1	1	0	0	1	1	1	1	1	| 0.002562
0	0	1	0	1	1	1	1	1	| 0.002152
1	0	1	0	1	1	1	1	1	| 0.002358
0	1	1	0	1	1	1	1	1	| 0.001963
1	1	1	0	1	1	1	1	1	| 0.001612
0	0	0	1	1	1	1	1	1	| 0.001921
1	0	0	1	1	1	1	1	1	| 0.001883
0	1	0	1	1	1	1	1	1	| 0.001623
1	1	0	1	1	1	1	1	1	| 0.001904
0	0	1	1	1	1	1	1	1	| 0.001814
1	0	1	1	1	1	1	1	1	| 0.001792
0	1	1	1	1	1	1	1	1	| 0.002022
1	1	1	1	1	1	1	1	1	| 0.001778
